Both Price And Arrival from 01-Jan-2019 To 31-Dec-2019 Total Arrival- 163400.68,,,,,,,,,
State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date
Madhya Pradesh,Panna,Ajaygarh,Arhar Dal(Tur),Pulses,4.5,4800,5675,4810,31-Dec-19
Madhya Pradesh,Panna,Ajaygarh,Desi(Whole),Pulses,9.3,5000,5675,5020,06-Dec-19
Madhya Pradesh,Panna,Ajaygarh,Arhar Dal(Tur),Pulses,4.5,4900,5675,4900,03-Dec-19
Madhya Pradesh,Panna,Ajaygarh,Desi(Whole),Pulses,14.2,4800,5675,4900,02-Dec-19
Madhya Pradesh,Panna,Ajaygarh,Desi(Whole),Pulses,4.8,5200,5675,5675,20-Nov-19
Madhya Pradesh,Panna,Ajaygarh,Desi(Whole),Pulses,7.5,5230,5675,5250,19-Nov-19
Madhya Pradesh,Panna,Ajaygarh,Desi(Whole),Pulses,10.9,5000,5150,5100,18-Nov-19
Madhya Pradesh,Panna,Ajaygarh,Desi(Whole),Pulses,20.1,5000,5675,5200,16-Nov-19
Madhya Pradesh,Panna,Ajaygarh,Desi(Whole),Pulses,5.2,5000,5100,5100,15-Nov-19
Madhya Pradesh,Panna,Ajaygarh,Desi(Whole),Pulses,9.2,5000,5675,5010,13-Nov-19
Madhya Pradesh,Panna,Ajaygarh,Desi(Whole),Pulses,2.2,5200,5675,5200,11-Nov-19
Madhya Pradesh,Panna,Ajaygarh,Desi(Whole),Pulses,11.9,5000,5680,5160,01-Nov-19
Madhya Pradesh,Panna,Ajaygarh,Desi(Whole),Pulses,4,4990,5675,5000,31-Oct-19
Madhya Pradesh,Panna,Ajaygarh,Desi(Whole),Pulses,1.8,5000,5000,5000,30-Oct-19
Madhya Pradesh,Panna,Ajaygarh,Desi(Whole),Pulses,6.5,4980,5675,5000,29-Oct-19
Madhya Pradesh,Panna,Ajaygarh,Desi(Whole),Pulses,5.4,4950,5050,5000,26-Oct-19
Madhya Pradesh,Panna,Ajaygarh,Desi(Whole),Pulses,8.4,5000,5680,5150,24-Oct-19
Madhya Pradesh,Panna,Ajaygarh,Desi(Whole),Pulses,4.3,4975,5676,5000,22-Oct-19
Madhya Pradesh,Panna,Ajaygarh,Desi(Whole),Pulses,0.5,4910,5675,4950,16-Oct-19
Madhya Pradesh,Panna,Ajaygarh,Desi(Whole),Pulses,16.8,4910,5675,4950,15-Oct-19
Madhya Pradesh,Panna,Ajaygarh,Desi(Whole),Pulses,13.9,5100,5675,5150,14-Oct-19
Madhya Pradesh,Panna,Ajaygarh,Arhar Dal(Tur),Pulses,8.9,4825,5675,4925,05-Oct-19
Madhya Pradesh,Panna,Ajaygarh,Desi(Whole),Pulses,11.5,4900,5675,4925,04-Oct-19
Madhya Pradesh,Panna,Ajaygarh,Desi(Whole),Pulses,3.7,5000,5675,5010,03-Oct-19
Madhya Pradesh,Panna,Ajaygarh,Desi(Whole),Pulses,17,4480,5675,5050,30-Sep-19
Madhya Pradesh,Panna,Ajaygarh,Desi(Whole),Pulses,4.6,4925,4975,4950,23-Sep-19
Madhya Pradesh,Panna,Ajaygarh,Desi(Whole),Pulses,3.9,4950,5000,5000,21-Sep-19
Madhya Pradesh,Panna,Ajaygarh,Desi(Whole),Pulses,3.9,4900,4925,4900,20-Sep-19
Madhya Pradesh,Panna,Ajaygarh,Desi(Whole),Pulses,2,4800,4800,4800,18-Sep-19
Madhya Pradesh,Panna,Ajaygarh,Desi(Whole),Pulses,6.3,5000,5680,5050,04-Sep-19
Madhya Pradesh,Panna,Ajaygarh,Desi(Whole),Pulses,4.5,5000,5680,5030,03-Sep-19
Madhya Pradesh,Panna,Ajaygarh,Desi(Whole),Pulses,6,4900,5000,4960,23-Aug-19
Madhya Pradesh,Panna,Ajaygarh,Desi(Whole),Pulses,16.8,5020,5680,5100,19-Aug-19
Madhya Pradesh,Panna,Ajaygarh,Desi(Whole),Pulses,4,4925,5675,4950,13-Aug-19
Madhya Pradesh,Panna,Ajaygarh,Desi(Whole),Pulses,6,4900,5650,4940,10-Aug-19
Madhya Pradesh,Panna,Ajaygarh,Arhar Dal(Tur),Pulses,4,5000,5675,5010,08-Aug-19
Madhya Pradesh,Panna,Ajaygarh,Desi(Whole),Pulses,9.3,4980,5680,5000,05-Aug-19
Madhya Pradesh,Panna,Ajaygarh,Desi(Whole),Pulses,6,4475,5675,4580,27-Jul-19
Madhya Pradesh,Panna,Ajaygarh,Desi(Whole),Pulses,37.9,4600,5680,5000,25-Jul-19
Madhya Pradesh,Panna,Ajaygarh,Desi(Whole),Pulses,10,4940,5675,4990,24-Jul-19
Madhya Pradesh,Panna,Ajaygarh,Desi(Whole),Pulses,8.4,4960,5675,4980,22-Jul-19
Madhya Pradesh,Panna,Ajaygarh,Desi(Whole),Pulses,2,4950,4950,4950,20-Jul-19
Madhya Pradesh,Panna,Ajaygarh,Desi(Whole),Pulses,13.1,4600,5675,4650,19-Jul-19
Madhya Pradesh,Panna,Ajaygarh,Desi(Whole),Pulses,8,4900,5675,4925,18-Jul-19
Madhya Pradesh,Panna,Ajaygarh,Desi(Whole),Pulses,22.4,4900,5680,5000,17-Jul-19
Madhya Pradesh,Panna,Ajaygarh,Desi(Whole),Pulses,8.3,4890,5675,4920,12-Jul-19
Madhya Pradesh,Panna,Ajaygarh,Desi(Whole),Pulses,10.7,4960,5680,5000,11-Jul-19
Madhya Pradesh,Panna,Ajaygarh,Desi(Whole),Pulses,5,4900,5675,4950,10-Jul-19
Madhya Pradesh,Panna,Ajaygarh,Desi(Whole),Pulses,7,4900,5675,5000,08-Jul-19
Madhya Pradesh,Panna,Ajaygarh,Desi(Whole),Pulses,7,4800,5675,4850,06-Jul-19
Madhya Pradesh,Panna,Ajaygarh,Desi(Whole),Pulses,5.4,4800,4900,4850,05-Jul-19
Madhya Pradesh,Panna,Ajaygarh,Desi(Whole),Pulses,7,4700,5675,4800,04-Jul-19
Madhya Pradesh,Panna,Ajaygarh,Desi(Whole),Pulses,9,4700,5675,4800,03-Jul-19
Madhya Pradesh,Panna,Ajaygarh,Desi(Whole),Pulses,22.5,4800,5675,4920,02-Jul-19
Madhya Pradesh,Panna,Ajaygarh,Desi(Whole),Pulses,9.7,4890,5675,4920,01-Jul-19
Madhya Pradesh,Panna,Ajaygarh,Desi(Whole),Pulses,10.6,4500,5675,5050,28-Jun-19
Madhya Pradesh,Panna,Ajaygarh,Desi(Whole),Pulses,12.1,4450,5675,4525,27-Jun-19
Madhya Pradesh,Panna,Ajaygarh,Desi(Whole),Pulses,10,5200,5675,5300,26-Jun-19
Madhya Pradesh,Panna,Ajaygarh,Desi(Whole),Pulses,7.2,4700,5675,4800,25-Jun-19
Madhya Pradesh,Panna,Ajaygarh,Desi(Whole),Pulses,10,4800,5675,4900,24-Jun-19
Madhya Pradesh,Panna,Ajaygarh,Desi(Whole),Pulses,7.7,4700,5675,4900,18-Jun-19
Madhya Pradesh,Panna,Ajaygarh,Desi(Whole),Pulses,34.1,4800,5680,4920,17-Jun-19
Madhya Pradesh,Panna,Ajaygarh,Desi(Whole),Pulses,9.1,4900,5680,5020,14-Jun-19
Madhya Pradesh,Panna,Ajaygarh,Desi(Whole),Pulses,27.9,4800,5675,5140,12-Jun-19
Madhya Pradesh,Panna,Ajaygarh,Desi(Whole),Pulses,5,4950,5675,5000,10-Jun-19
Madhya Pradesh,Panna,Ajaygarh,Desi(Whole),Pulses,3,4900,5675,4975,08-Jun-19
Madhya Pradesh,Panna,Ajaygarh,Desi(Whole),Pulses,21.6,4900,5680,5170,07-Jun-19
Madhya Pradesh,Panna,Ajaygarh,Desi(Whole),Pulses,16.4,4900,5675,5150,06-Jun-19
Madhya Pradesh,Panna,Ajaygarh,Desi(Whole),Pulses,19.2,4900,5680,5100,04-Jun-19
Madhya Pradesh,Panna,Ajaygarh,Desi(Whole),Pulses,11.9,5200,5690,5250,03-Jun-19
Madhya Pradesh,Panna,Ajaygarh,Desi(Whole),Pulses,13.7,5200,5680,5250,01-Jun-19
Madhya Pradesh,Panna,Ajaygarh,Desi(Whole),Pulses,4.8,4940,5675,5000,31-May-19
Madhya Pradesh,Panna,Ajaygarh,Desi(Whole),Pulses,11,4900,5675,5000,30-May-19
Madhya Pradesh,Panna,Ajaygarh,Desi(Whole),Pulses,15.6,4900,5675,5000,29-May-19
Madhya Pradesh,Panna,Ajaygarh,Desi(Whole),Pulses,19.5,4890,5675,4950,28-May-19
Madhya Pradesh,Panna,Ajaygarh,Desi(Whole),Pulses,17.4,4800,5680,5000,27-May-19
Madhya Pradesh,Panna,Ajaygarh,Desi(Whole),Pulses,20,5000,5680,5100,25-May-19
Madhya Pradesh,Panna,Ajaygarh,Desi(Whole),Pulses,6.6,5000,5675,5100,23-May-19
