Both Price And Arrival from 01-Jan-2022 To 31-Dec-2023 Total Arrival- 214279.20,,,,,,,,,
State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date
Madhya Pradesh,Panna,Ajaygarh,Desi(Whole),Pulses,4.9,9750,9850,9800,24-Nov-23
Madhya Pradesh,Panna,Ajaygarh,Desi(Whole),Pulses,5.9,9980,10150,10100,22-Nov-23
Madhya Pradesh,Panna,Ajaygarh,Desi(Whole),Pulses,15.7,9500,10200,10000,21-Nov-23
Madhya Pradesh,Panna,Ajaygarh,Desi(Whole),Pulses,9.2,9500,9520,9510,08-Nov-23
Madhya Pradesh,Panna,Ajaygarh,Desi(Whole),Pulses,10,9500,9550,9520,07-Nov-23
Madhya Pradesh,Panna,Ajaygarh,Desi(Whole),Pulses,8,10400,10500,10450,04-Nov-23
Madhya Pradesh,Panna,Ajaygarh,Desi(Whole),Pulses,0.1,9500,9500,9500,01-Nov-23
Madhya Pradesh,Panna,Ajaygarh,Desi(Whole),Pulses,4.6,9500,9900,9800,31-Oct-23
Madhya Pradesh,Panna,Ajaygarh,Desi(Whole),Pulses,1.5,9500,9500,9500,20-Oct-23
Madhya Pradesh,Panna,Ajaygarh,Desi(Whole),Pulses,16,9500,10500,10400,19-Oct-23
Madhya Pradesh,Panna,Ajaygarh,Desi(Whole),Pulses,2.3,9450,9500,9500,18-Oct-23
Madhya Pradesh,Panna,Ajaygarh,Desi(Whole),Pulses,3.3,9500,9520,9510,17-Oct-23
Madhya Pradesh,Panna,Ajaygarh,Desi(Whole),Pulses,6,9500,9550,9540,16-Oct-23
Madhya Pradesh,Panna,Ajaygarh,Desi(Whole),Pulses,7.5,10100,10200,10180,30-Sep-23
Madhya Pradesh,Panna,Ajaygarh,Desi(Whole),Pulses,3.6,10700,10700,10700,23-Sep-23
Madhya Pradesh,Panna,Ajaygarh,Desi(Whole),Pulses,3.4,10600,10700,10650,22-Sep-23
Madhya Pradesh,Panna,Ajaygarh,Desi(Whole),Pulses,7.5,10300,10500,10400,11-Sep-23
Madhya Pradesh,Panna,Ajaygarh,Desi(Whole),Pulses,7.1,10300,10500,10400,05-Sep-23
Madhya Pradesh,Panna,Ajaygarh,Desi(Whole),Pulses,7.4,9980,10000,9990,31-Aug-23
Madhya Pradesh,Panna,Ajaygarh,Desi(Whole),Pulses,8.8,9200,9300,9250,26-Aug-23
Madhya Pradesh,Panna,Ajaygarh,Desi(Whole),Pulses,9,9000,9200,9150,25-Aug-23
Madhya Pradesh,Panna,Ajaygarh,Desi(Whole),Pulses,8.2,9690,9730,9720,18-Aug-23
Madhya Pradesh,Panna,Ajaygarh,Desi(Whole),Pulses,10.7,9000,9050,9040,17-Aug-23
Madhya Pradesh,Panna,Ajaygarh,Desi(Whole),Pulses,14,8800,9000,8950,14-Aug-23
Madhya Pradesh,Panna,Ajaygarh,Desi(Whole),Pulses,0.2,8900,8900,8900,11-Aug-23
Madhya Pradesh,Panna,Ajaygarh,Desi(Whole),Pulses,5.3,8800,8950,8900,09-Aug-23
Madhya Pradesh,Panna,Ajaygarh,Desi(Whole),Pulses,7,8900,9000,8950,05-Aug-23
Madhya Pradesh,Panna,Ajaygarh,Desi(Whole),Pulses,16.7,8680,8913,8910,04-Aug-23
Madhya Pradesh,Panna,Ajaygarh,Desi(Whole),Pulses,6.8,8600,8710,8700,01-Aug-23
Madhya Pradesh,Panna,Ajaygarh,Desi(Whole),Pulses,8,8750,8800,8790,28-Jul-23
Madhya Pradesh,Panna,Ajaygarh,Desi(Whole),Pulses,10,8680,8720,8710,25-Jul-23
Madhya Pradesh,Panna,Ajaygarh,Desi(Whole),Pulses,5.4,8400,8500,8450,22-Jul-23
Madhya Pradesh,Panna,Ajaygarh,Desi(Whole),Pulses,8.3,8500,8600,8550,19-Jul-23
Madhya Pradesh,Panna,Ajaygarh,Desi(Whole),Pulses,11.8,8800,8850,8840,18-Jul-23
Madhya Pradesh,Panna,Ajaygarh,Desi(Whole),Pulses,8,8700,8800,8780,08-Jul-23
Madhya Pradesh,Panna,Ajaygarh,Desi(Whole),Pulses,7.5,8360,8400,8390,04-Jul-23
Madhya Pradesh,Panna,Ajaygarh,Desi(Whole),Pulses,5.8,8400,8500,8450,03-Jul-23
Madhya Pradesh,Panna,Ajaygarh,Desi(Whole),Pulses,8,8350,8400,8390,30-Jun-23
Madhya Pradesh,Panna,Ajaygarh,Desi(Whole),Pulses,3.5,8400,8500,8420,28-Jun-23
Madhya Pradesh,Panna,Ajaygarh,Desi(Whole),Pulses,11.1,8500,8810,8700,27-Jun-23
Madhya Pradesh,Panna,Ajaygarh,Desi(Whole),Pulses,2.6,8420,8450,8450,24-Jun-23
Madhya Pradesh,Panna,Ajaygarh,Desi(Whole),Pulses,9.4,8400,8500,8460,23-Jun-23
Madhya Pradesh,Panna,Ajaygarh,Desi(Whole),Pulses,10.6,8450,8700,8670,22-Jun-23
Madhya Pradesh,Panna,Ajaygarh,Desi(Whole),Pulses,11,8600,8700,8690,20-Jun-23
Madhya Pradesh,Panna,Ajaygarh,Desi(Whole),Pulses,8,8800,8900,8850,17-Jun-23
Madhya Pradesh,Panna,Ajaygarh,Desi(Whole),Pulses,8.2,8600,8700,8650,14-Jun-23
Madhya Pradesh,Panna,Ajaygarh,Desi(Whole),Pulses,10,6900,7020,7000,12-Jun-23
Madhya Pradesh,Panna,Ajaygarh,Desi(Whole),Pulses,9.6,8550,8600,8580,08-Jun-23
Madhya Pradesh,Panna,Ajaygarh,Desi(Whole),Pulses,8.5,8500,8600,8550,07-Jun-23
Madhya Pradesh,Panna,Ajaygarh,Desi(Whole),Pulses,10.9,8500,8600,8550,06-Jun-23
Madhya Pradesh,Panna,Ajaygarh,Desi(Whole),Pulses,15.4,8600,8700,8680,05-Jun-23
Madhya Pradesh,Panna,Ajaygarh,Desi(Whole),Pulses,8.1,8400,8550,8500,31-May-23
Madhya Pradesh,Panna,Ajaygarh,Desi(Whole),Pulses,9.6,8400,8500,8470,29-May-23
Madhya Pradesh,Panna,Ajaygarh,Desi(Whole),Pulses,3.8,7500,7550,7525,25-May-23
Madhya Pradesh,Panna,Ajaygarh,Desi(Whole),Pulses,7.5,7500,8000,7600,24-May-23
Madhya Pradesh,Panna,Ajaygarh,Desi(Whole),Pulses,13.9,7550,7620,7600,23-May-23
Madhya Pradesh,Panna,Ajaygarh,Desi(Whole),Pulses,14.3,7500,8010,8000,22-May-23
Madhya Pradesh,Panna,Ajaygarh,Desi(Whole),Pulses,8,7800,8000,7900,20-May-23
Madhya Pradesh,Panna,Ajaygarh,Desi(Whole),Pulses,16.2,7300,7500,7480,19-May-23
Madhya Pradesh,Panna,Ajaygarh,Desi(Whole),Pulses,16.1,7250,7500,7450,18-May-23
Madhya Pradesh,Panna,Ajaygarh,Desi(Whole),Pulses,18.6,7100,7500,7250,17-May-23
Madhya Pradesh,Panna,Ajaygarh,Desi(Whole),Pulses,6,7150,7250,7200,16-May-23
Madhya Pradesh,Panna,Ajaygarh,Desi(Whole),Pulses,10,7000,7250,7150,15-May-23
Madhya Pradesh,Panna,Ajaygarh,Desi(Whole),Pulses,5.5,7000,7200,7150,13-May-23
Madhya Pradesh,Panna,Ajaygarh,Desi(Whole),Pulses,18.5,7100,7250,7200,12-May-23
Madhya Pradesh,Panna,Ajaygarh,Desi(Whole),Pulses,28.4,7000,7500,7480,11-May-23
Madhya Pradesh,Panna,Ajaygarh,Desi(Whole),Pulses,36.4,7200,7450,7440,10-May-23
Madhya Pradesh,Panna,Ajaygarh,Desi(Whole),Pulses,25,7150,7320,7300,09-May-23
Madhya Pradesh,Panna,Ajaygarh,Desi(Whole),Pulses,10,6900,7020,7000,08-May-23
Madhya Pradesh,Panna,Ajaygarh,Desi(Whole),Pulses,16.6,6900,7260,7250,06-May-23
Madhya Pradesh,Panna,Ajaygarh,Desi(Whole),Pulses,9.4,7250,7280,7260,05-May-23
Madhya Pradesh,Panna,Ajaygarh,Desi(Whole),Pulses,19.8,6900,7300,7150,04-May-23
Madhya Pradesh,Panna,Ajaygarh,Desi(Whole),Pulses,25.8,7000,7290,7280,03-May-23
Madhya Pradesh,Panna,Ajaygarh,Desi(Whole),Pulses,22.8,6900,7300,7280,02-May-23
Madhya Pradesh,Panna,Ajaygarh,Desi(Whole),Pulses,15.5,7250,7320,7300,01-May-23
