State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date
Madhya Pradesh,Burhanpur,Burhanpur(F&V),Gram Raw(Chholia),Vegetables,1,2400,3200,2800,28-Jan-20
Madhya Pradesh,Burhanpur,Burhanpur(F&V),Gram Raw(Chholia),Vegetables,1,2400,3200,2800,27-Jan-20
Madhya Pradesh,Burhanpur,Burhanpur(F&V),Gram Raw(Chholia),Vegetables,1,2200,3000,2600,25-Jan-20
Madhya Pradesh,Burhanpur,Burhanpur(F&V),Gram Raw(Chholia),Vegetables,2,2200,3200,2800,24-Jan-20
Madhya Pradesh,Burhanpur,Burhanpur(F&V),Gram Raw(Chholia),Vegetables,1,2200,3200,2700,21-Jan-20
Madhya Pradesh,Burhanpur,Burhanpur(F&V),Gram Raw(Chholia),Vegetables,1,2400,3200,2800,19-Jan-20
Madhya Pradesh,Burhanpur,Burhanpur(F&V),Gram Raw(Chholia),Vegetables,1,2400,3200,3000,18-Jan-20
Madhya Pradesh,Burhanpur,Burhanpur(F&V),Gram Raw(Chholia),Vegetables,1,2200,3200,2800,17-Jan-20
Madhya Pradesh,Burhanpur,Burhanpur(F&V),Gram Raw(Chholia),Vegetables,2,2200,3200,2800,16-Jan-20
Madhya Pradesh,Burhanpur,Burhanpur(F&V),Gram Raw(Chholia),Vegetables,1,2000,3000,2500,15-Jan-20
Madhya Pradesh,Burhanpur,Burhanpur(F&V),Gram Raw(Chholia),Vegetables,1,2200,3200,3000,14-Jan-20
Madhya Pradesh,Burhanpur,Burhanpur(F&V),Gram Raw(Chholia),Vegetables,2,2200,3200,2800,12-Jan-20
Madhya Pradesh,Burhanpur,Burhanpur(F&V),Gram Raw(Chholia),Vegetables,2,2200,3200,2800,10-Jan-20
Madhya Pradesh,Burhanpur,Burhanpur(F&V),Gram Raw(Chholia),Vegetables,1,2000,3500,2700,06-Jan-20
Madhya Pradesh,Burhanpur,Burhanpur(F&V),Gram Raw(Chholia),Vegetables,2,2000,3200,2800,02-Jan-20
Madhya Pradesh,Burhanpur,Burhanpur(F&V),Gram Raw(Chholia),Vegetables,1,2200,3200,2600,01-Jan-20
Madhya Pradesh,Burhanpur,Burhanpur(F&V),Gram Raw(Chholia),Vegetables,1,2200,3200,2700,30-Dec-19
Madhya Pradesh,Burhanpur,Burhanpur(F&V),Gram Raw(Chholia),Vegetables,1,2000,3200,2800,29-Dec-19
Madhya Pradesh,Burhanpur,Burhanpur(F&V),Gram Raw(Chholia),Vegetables,1,2300,3200,2800,27-Dec-19
Madhya Pradesh,Burhanpur,Burhanpur(F&V),Gram Raw(Chholia),Vegetables,1,2000,3000,2500,25-Dec-19
Madhya Pradesh,Burhanpur,Burhanpur(F&V),Gram Raw(Chholia),Vegetables,1,2000,3000,2600,24-Dec-19
Madhya Pradesh,Burhanpur,Burhanpur(F&V),Gram Raw(Chholia),Vegetables,2,2200,3400,2800,22-Dec-19
Madhya Pradesh,Burhanpur,Burhanpur(F&V),Gram Raw(Chholia),Vegetables,1,2200,3200,2800,21-Dec-19
Madhya Pradesh,Burhanpur,Burhanpur(F&V),Gram Raw(Chholia),Vegetables,1,2000,3000,2500,20-Dec-19
Madhya Pradesh,Burhanpur,Burhanpur(F&V),Gram Raw(Chholia),Vegetables,1,2200,3200,2800,19-Dec-19
Madhya Pradesh,Burhanpur,Burhanpur(F&V),Gram Raw(Chholia),Vegetables,1,1600,2000,1800,18-Dec-19
Madhya Pradesh,Burhanpur,Burhanpur(F&V),Gram Raw(Chholia),Vegetables,2,2200,3400,2600,17-Dec-19
Madhya Pradesh,Burhanpur,Burhanpur(F&V),Gram Raw(Chholia),Vegetables,1,2200,3200,2800,12-Dec-19
Madhya Pradesh,Burhanpur,Burhanpur(F&V),Gram Raw(Chholia),Vegetables,1,2000,3000,2500,10-Dec-19
Madhya Pradesh,Burhanpur,Burhanpur(F&V),Gram Raw(Chholia),Vegetables,1.5,2200,3200,2700,07-Dec-19
Madhya Pradesh,Burhanpur,Burhanpur(F&V),Gram Raw(Chholia),Vegetables,0.2,2200,3200,2600,01-Nov-19
Madhya Pradesh,Burhanpur,Burhanpur(F&V),Gram Raw(Chholia),Vegetables,0.1,3000,3000,3000,19-Aug-19
Madhya Pradesh,Burhanpur,Burhanpur(F&V),Gram Raw(Chholia),Vegetables,0.1,2900,2900,2900,18-Aug-19
Madhya Pradesh,Burhanpur,Burhanpur(F&V),Gram Raw(Chholia),Vegetables,1,2400,3000,2800,16-Aug-19
Madhya Pradesh,Burhanpur,Burhanpur(F&V),Gram Raw(Chholia),Vegetables,2,3000,3000,3000,09-Jun-19
Madhya Pradesh,Burhanpur,Burhanpur(F&V),Gram Raw(Chholia),Vegetables,1,2000,3000,2500,02-Jun-19
Madhya Pradesh,Burhanpur,Burhanpur(F&V),Gram Raw(Chholia),Vegetables,2,2800,3000,3000,29-May-19
Madhya Pradesh,Burhanpur,Burhanpur(F&V),Gram Raw(Chholia),Vegetables,2,2600,2800,2800,21-May-19
Madhya Pradesh,Burhanpur,Burhanpur(F&V),Gram Raw(Chholia),Vegetables,2,2600,2800,2800,18-May-19
Madhya Pradesh,Burhanpur,Burhanpur(F&V),Gram Raw(Chholia),Vegetables,2,2600,2800,2800,17-May-19
Madhya Pradesh,Burhanpur,Burhanpur(F&V),Gram Raw(Chholia),Vegetables,2,2600,2800,2800,16-May-19
Madhya Pradesh,Burhanpur,Burhanpur(F&V),Gram Raw(Chholia),Vegetables,2,2600,2800,2800,15-May-19
Madhya Pradesh,Burhanpur,Burhanpur(F&V),Gram Raw(Chholia),Vegetables,2,2600,2800,2800,14-May-19
Madhya Pradesh,Burhanpur,Burhanpur(F&V),Gram Raw(Chholia),Vegetables,2,2600,2800,2800,13-May-19
Madhya Pradesh,Burhanpur,Burhanpur(F&V),Gram Raw(Chholia),Vegetables,2,2600,2800,2800,12-May-19
Madhya Pradesh,Burhanpur,Burhanpur(F&V),Gram Raw(Chholia),Vegetables,2,2600,2800,2800,11-May-19
Madhya Pradesh,Burhanpur,Burhanpur(F&V),Gram Raw(Chholia),Vegetables,2,2600,2800,2800,09-May-19
Madhya Pradesh,Dhar,Dhar(F&V),Gram Raw(Chholia),Vegetables,0.2,1100,1240,1200,28-Oct-22
Madhya Pradesh,Dhar,Dhar(F&V),Gram Raw(Chholia),Vegetables,0.2,1300,1590,1400,19-Oct-22
Madhya Pradesh,Dhar,Dhar(F&V),Gram Raw(Chholia),Vegetables,0.2,1660,1690,1680,06-Oct-22
Madhya Pradesh,Dhar,Dhar(F&V),Gram Raw(Chholia),Vegetables,0.2,1660,1780,1700,05-Oct-22
Madhya Pradesh,Dhar,Dhar(F&V),Gram Raw(Chholia),Vegetables,0.2,1660,1700,1680,03-Oct-22
Madhya Pradesh,Dhar,Dhar(F&V),Gram Raw(Chholia),Vegetables,0.3,1200,1400,1350,01-Oct-22
Madhya Pradesh,Dhar,Dhar(F&V),Gram Raw(Chholia),Vegetables,0.2,1700,1800,1750,29-Sep-22
Madhya Pradesh,Dhar,Dhar(F&V),Gram Raw(Chholia),Vegetables,0.3,1600,1780,1680,28-Sep-22
Madhya Pradesh,Dhar,Dhar(F&V),Gram Raw(Chholia),Vegetables,0.3,1450,1650,1580,27-Sep-22
Madhya Pradesh,Dhar,Dhar(F&V),Gram Raw(Chholia),Vegetables,0.2,1450,1600,1540,26-Sep-22
Madhya Pradesh,Dhar,Dhar(F&V),Gram Raw(Chholia),Vegetables,0.2,1500,1750,1600,14-Sep-22
Madhya Pradesh,Dhar,Dhar(F&V),Gram Raw(Chholia),Vegetables,0.2,1300,1450,1350,12-Sep-22
Madhya Pradesh,Dhar,Dhar(F&V),Gram Raw(Chholia),Vegetables,0.2,1750,1790,1780,11-Sep-22
Madhya Pradesh,Dhar,Dhar(F&V),Gram Raw(Chholia),Vegetables,0.1,1800,1800,1800,07-Aug-22
Madhya Pradesh,Dhar,Dhar(F&V),Gram Raw(Chholia),Vegetables,0.1,1100,1100,1100,14-Jul-22
Madhya Pradesh,Dhar,Dhar(F&V),Gram Raw(Chholia),Vegetables,0.1,1000,1000,1000,09-Jul-22
Madhya Pradesh,Dhar,Dhar(F&V),Gram Raw(Chholia),Vegetables,0.1,1700,1700,1700,10-Jun-22
Madhya Pradesh,Dhar,Dhar(F&V),Gram Raw(Chholia),Vegetables,0.1,1800,1800,1800,30-May-22
Madhya Pradesh,Dhar,Dhar(F&V),Gram Raw(Chholia),Vegetables,0.1,1600,1600,1600,13-May-22
Madhya Pradesh,Dhar,Dhar(F&V),Gram Raw(Chholia),Vegetables,0.1,1600,1600,1600,12-May-22
Madhya Pradesh,Dhar,Dhar(F&V),Gram Raw(Chholia),Vegetables,0.1,1800,1800,1800,10-May-22
Madhya Pradesh,Dhar,Dhar(F&V),Gram Raw(Chholia),Vegetables,0.1,1500,1500,1500,17-Apr-22
Madhya Pradesh,Dhar,Dhar(F&V),Gram Raw(Chholia),Vegetables,0.1,1050,1050,1050,12-Apr-22
Madhya Pradesh,Dhar,Dhar(F&V),Gram Raw(Chholia),Vegetables,0.1,1350,1350,1350,10-Apr-22
Madhya Pradesh,Dhar,Dhar(F&V),Gram Raw(Chholia),Vegetables,0.1,3000,3000,3000,09-Apr-22
Madhya Pradesh,Dhar,Dhar(F&V),Gram Raw(Chholia),Vegetables,0.1,2200,2200,2200,22-Mar-22
Madhya Pradesh,Dhar,Dhar(F&V),Gram Raw(Chholia),Vegetables,0.2,1400,1970,1700,20-Mar-22
Madhya Pradesh,Dhar,Dhar(F&V),Gram Raw(Chholia),Vegetables,0.1,2000,2000,2000,17-Mar-22
Madhya Pradesh,Dhar,Dhar(F&V),Gram Raw(Chholia),Vegetables,0.3,1200,1800,1600,08-Mar-22
Madhya Pradesh,Dhar,Dhar(F&V),Gram Raw(Chholia),Vegetables,0.2,900,1600,1400,04-Mar-22
Madhya Pradesh,Dhar,Dhar(F&V),Gram Raw(Chholia),Vegetables,0.2,1600,1600,1600,02-Mar-22
Madhya Pradesh,Dhar,Dhar(F&V),Gram Raw(Chholia),Vegetables,0.2,2200,2200,2200,28-Feb-22
Madhya Pradesh,Narsinghpur,Gadarwada,Gram Raw(Chholia),Vegetables,55.5,3761,4455,4275,17-Aug-20
