State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date
Madhya Pradesh,Anupur,Anuppur,Millets,Other,2.9,3400,3400,3400,24-Nov-23
Madhya Pradesh,Anupur,Anuppur,Millets,Other,0.6,3000,3000,3000,29-Oct-23
Madhya Pradesh,Anupur,Anuppur,Millets,Other,0.6,3000,3000,3000,22-Oct-23
Madhya Pradesh,Anupur,Anuppur,Millets,Other,0.5,3000,3000,3000,15-Oct-23
Madhya Pradesh,Anupur,Anuppur,Millets,Other,3,4000,4000,4000,24-Sep-23
Madhya Pradesh,Anupur,Anuppur,Millets,Other,10.6,3500,4000,3500,12-Sep-23
Madhya Pradesh,Anupur,Anuppur,Millets,Other,2.5,4000,4000,4000,26-Aug-23
Madhya Pradesh,Anupur,Anuppur,Millets,Other,7.6,3500,4300,3500,11-Aug-23
Madhya Pradesh,Anupur,Anuppur,Millets,Other,1,3800,3800,3800,20-Jun-23
Madhya Pradesh,Anupur,Anuppur,Millets,Other,2.1,3500,3500,3500,15-Jun-23
Madhya Pradesh,Anupur,Anuppur,Millets,Other,2,3700,3700,3700,11-Jun-23
Madhya Pradesh,Anupur,Anuppur,Millets,Other,1,3800,3800,3800,07-Jun-23
Madhya Pradesh,Anupur,Anuppur,Millets,Other,2,3800,3800,3800,05-Jun-23
Madhya Pradesh,Anupur,Anuppur,Millets,Other,24.9,3300,3700,3700,24-Apr-23
Madhya Pradesh,Anupur,Anuppur,Millets,Other,5,3600,3600,3600,26-Mar-23
Madhya Pradesh,Anupur,Anuppur,Millets,Other,2.6,3700,3700,3700,19-Mar-23
Madhya Pradesh,Anupur,Anuppur,Millets,Other,2.5,3700,3700,3700,12-Mar-23
Madhya Pradesh,Anupur,Anuppur,Millets,Other,2.6,3800,3800,3800,21-Feb-23
Madhya Pradesh,Anupur,Anuppur,Millets,Other,12.4,3400,3800,3800,15-Feb-23
Madhya Pradesh,Anupur,Anuppur,Millets,Other,6,3500,3500,3500,09-Feb-23
Madhya Pradesh,Anupur,Anuppur,Millets,Other,2,3500,3500,3500,01-Feb-23
Madhya Pradesh,Anupur,Anuppur,Millets,Other,2.5,3500,3500,3500,31-Jan-23
Madhya Pradesh,Anupur,Anuppur,Millets,Other,1.5,3600,3600,3600,23-Jan-23
Madhya Pradesh,Anupur,Anuppur,Millets,Other,7.6,3600,3800,3700,22-Jan-23
Madhya Pradesh,Anupur,Anuppur,Millets,Other,2,3300,3300,3300,13-Jan-23
Madhya Pradesh,Anupur,Anuppur,Millets,Other,4,2390,2390,2390,11-Jan-23
Madhya Pradesh,Anupur,Anuppur,Millets,Other,2.5,3800,3800,3800,10-Jan-23
Madhya Pradesh,Anupur,Anuppur,Millets,Other,10,3800,3800,3800,02-Jan-23
Madhya Pradesh,Anupur,Anuppur,Millets,Other,6,3800,3800,3800,01-Jan-23
Madhya Pradesh,Anupur,Anuppur,Millets,Other,5,4000,4000,4000,27-Dec-22
Madhya Pradesh,Anupur,Anuppur,Millets,Other,5,4000,4000,4000,25-Dec-22
Madhya Pradesh,Anupur,Anuppur,Millets,Other,3,3500,3500,3500,22-Dec-22
Madhya Pradesh,Anupur,Anuppur,Millets,Other,18.2,3800,3800,3800,21-Dec-22
Madhya Pradesh,Anupur,Anuppur,Millets,Other,5,3700,3700,3700,13-Dec-22
Madhya Pradesh,Anupur,Anuppur,Millets,Other,5,2600,2600,2600,01-Nov-22
Madhya Pradesh,Anupur,Anuppur,Millets,Other,1,3000,3000,3000,31-Oct-22
Madhya Pradesh,Anupur,Anuppur,Millets,Other,3,3000,3000,3000,30-Oct-22
Madhya Pradesh,Anupur,Anuppur,Millets,Other,5,3300,3300,3300,12-Oct-22
Madhya Pradesh,Anupur,Anuppur,Millets,Other,5,3300,3300,3300,26-Sep-22
Madhya Pradesh,Anupur,Anuppur,Millets,Other,4,3500,3500,3500,07-Sep-22
Madhya Pradesh,Anupur,Anuppur,Millets,Other,5,4000,4000,4000,06-Sep-22
Madhya Pradesh,Anupur,Anuppur,Millets,Other,2.5,3500,3500,3500,27-Aug-22
