State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date
Madhya Pradesh,Bhind,Alampur,1121,Cereals,85,4000,4260,4100,19-Dec-23
Madhya Pradesh,Bhind,Alampur,1121,Cereals,100,4000,4350,4180,18-Dec-23
Madhya Pradesh,Bhind,Alampur,1121,Cereals,37,3900,4140,4000,16-Dec-23
Madhya Pradesh,Bhind,Alampur,1121,Cereals,50,4000,4250,4100,15-Dec-23
Madhya Pradesh,Bhind,Alampur,1121,Cereals,70,4000,4280,4100,14-Dec-23
Madhya Pradesh,Bhind,Alampur,1121,Cereals,50,4100,4280,4200,13-Dec-23
Madhya Pradesh,Bhind,Alampur,1121,Cereals,50,4000,4280,4100,12-Dec-23
Madhya Pradesh,Bhind,Alampur,1121,Cereals,60,4000,4250,4100,11-Dec-23
Madhya Pradesh,Bhind,Alampur,1121,Cereals,100,4100,4300,4200,09-Dec-23
Madhya Pradesh,Bhind,Alampur,1121,Cereals,252,4000,4200,4100,08-Dec-23
Madhya Pradesh,Bhind,Alampur,1121,Cereals,130,3300,3500,3400,06-Dec-23
Madhya Pradesh,Bhind,Alampur,1121,Cereals,30,3300,3500,3400,05-Dec-23
Madhya Pradesh,Bhind,Alampur,1121,Cereals,200,4000,4250,4100,02-Dec-23
Madhya Pradesh,Bhind,Alampur,1121,Cereals,150,4000,4550,4300,01-Dec-23
Madhya Pradesh,Bhind,Alampur,1121,Cereals,20,4000,4300,4200,30-Nov-23
Madhya Pradesh,Bhind,Alampur,1121,Cereals,55,4000,4300,4200,29-Nov-23
Madhya Pradesh,Bhind,Alampur,1121,Cereals,60,4000,4200,4100,28-Nov-23
Madhya Pradesh,Bhind,Alampur,1121,Cereals,450,4000,4200,4100,27-Nov-23
Madhya Pradesh,Bhind,Alampur,1121,Cereals,210,4000,4295,4100,25-Nov-23
Madhya Pradesh,Bhind,Alampur,1121,Cereals,200,4000,4350,4100,24-Nov-23
Madhya Pradesh,Bhind,Alampur,1121,Cereals,350,4000,4200,4100,21-Nov-23
Madhya Pradesh,Bhind,Alampur,1121,Cereals,300,4000,4180,4100,20-Nov-23
Madhya Pradesh,Bhind,Alampur,1121,Cereals,340,3300,3850,3600,09-Nov-23
Madhya Pradesh,Bhind,Alampur,1121,Cereals,400,3300,3750,3600,08-Nov-23
Madhya Pradesh,Bhind,Alampur,1121,Cereals,606.5,3200,3790,3500,07-Nov-23
Madhya Pradesh,Bhind,Alampur,1121,Cereals,495,3100,3790,3500,06-Nov-23
Madhya Pradesh,Bhind,Alampur,1121,Cereals,385.7,3300,3810,3600,04-Nov-23
Madhya Pradesh,Bhind,Alampur,1121,Cereals,416,3500,3725,3700,03-Nov-23
Madhya Pradesh,Bhind,Alampur,1121,Cereals,215.5,3200,3600,3400,02-Nov-23
Madhya Pradesh,Bhind,Alampur,1121,Cereals,213.9,3400,3600,3500,01-Nov-23
Madhya Pradesh,Bhind,Alampur,1121,Cereals,568.4,3550,3695,3650,31-Oct-23
Madhya Pradesh,Bhind,Alampur,1121,Cereals,551,3100,3720,3400,30-Oct-23
Madhya Pradesh,Bhind,Alampur,1121,Cereals,175,3320,3615,3450,28-Oct-23
Madhya Pradesh,Bhind,Alampur,1121,Cereals,169,3000,3600,3200,27-Oct-23
Madhya Pradesh,Bhind,Alampur,1121,Cereals,104,3100,3480,3300,25-Oct-23
Madhya Pradesh,Bhind,Alampur,1121,Cereals,100,3000,3200,3100,23-Oct-23
Madhya Pradesh,Bhind,Alampur,1121,Cereals,135,2900,3100,3000,20-Oct-23
Madhya Pradesh,Bhind,Alampur,1121,Cereals,100,2800,3000,2900,13-Oct-23
Madhya Pradesh,Bhind,Alampur,1121,Cereals,60,3000,3100,3050,09-Oct-23
Madhya Pradesh,Bhind,Alampur,1121,Cereals,17,4100,4250,4200,01-Feb-23
Madhya Pradesh,Bhind,Alampur,1121,Cereals,20,4100,4250,4200,24-Jan-23
Madhya Pradesh,Bhind,Alampur,1121,Cereals,8,4100,4325,4290,20-Jan-23
Madhya Pradesh,Bhind,Alampur,1121,Cereals,25,4000,4200,4150,06-Jan-23
Madhya Pradesh,Bhind,Alampur,1121,Cereals,40,4100,4200,4150,05-Jan-23
Madhya Pradesh,Bhind,Alampur,1121,Cereals,58.5,4050,4250,4150,04-Jan-23
Madhya Pradesh,Bhind,Alampur,1121,Cereals,9,4100,4300,4200,03-Jan-23
Madhya Pradesh,Bhind,Alampur,1121,Cereals,49,4100,4300,4200,02-Jan-23
Madhya Pradesh,Bhind,Alampur,1121,Cereals,150,3850,4000,3950,30-Dec-22
Madhya Pradesh,Bhind,Alampur,1121,Cereals,35,3950,4100,4050,29-Dec-22
Madhya Pradesh,Bhind,Alampur,1121,Cereals,40,3900,4100,4050,28-Dec-22
Madhya Pradesh,Bhind,Alampur,1121,Cereals,90,3900,4100,4000,27-Dec-22
Madhya Pradesh,Bhind,Alampur,1121,Cereals,40,3700,3900,3800,26-Dec-22
Madhya Pradesh,Bhind,Alampur,1121,Cereals,143,3900,4200,4100,24-Dec-22
Madhya Pradesh,Bhind,Alampur,1121,Cereals,85,4000,4300,4200,23-Dec-22
Madhya Pradesh,Bhind,Alampur,1121,Cereals,243,3700,4100,3800,21-Dec-22
