Both Price And Arrival from 01-Jan-2019 To 31-Dec-2023 Total Arrival- 585139.03,,,,,,,,,
State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date
Madhya Pradesh,Panna,Ajaygarh,Peas(Dry),Pulses,9,5450,5500,5480,15-Dec-23
Madhya Pradesh,Panna,Ajaygarh,Peas(Dry),Pulses,13.2,6000,6100,6050,05-Dec-23
Madhya Pradesh,Panna,Ajaygarh,Peas(Dry),Pulses,9.2,6000,6100,6050,04-Dec-23
Madhya Pradesh,Panna,Ajaygarh,Peas(Dry),Pulses,8.7,5800,5900,5850,30-Nov-23
Madhya Pradesh,Panna,Ajaygarh,Peas(Dry),Pulses,7.6,6200,6300,6250,28-Nov-23
Madhya Pradesh,Panna,Ajaygarh,Peas(Dry),Pulses,6.6,6200,6350,6300,24-Nov-23
Madhya Pradesh,Panna,Ajaygarh,Peas(Dry),Pulses,8.6,6300,6340,6320,23-Nov-23
Madhya Pradesh,Panna,Ajaygarh,Peas(Dry),Pulses,13.8,6300,6400,6350,22-Nov-23
Madhya Pradesh,Panna,Ajaygarh,Peas(Dry),Pulses,9.1,6000,6100,6050,16-Nov-23
Madhya Pradesh,Panna,Ajaygarh,Peas(Dry),Pulses,14.9,5700,5900,5800,10-Nov-23
Madhya Pradesh,Panna,Ajaygarh,Peas(Dry),Pulses,7.4,5000,5150,5100,02-Nov-23
Madhya Pradesh,Panna,Ajaygarh,Peas(Dry),Pulses,0.4,5100,5300,5250,01-Nov-23
Madhya Pradesh,Panna,Ajaygarh,Peas(Dry),Pulses,14.9,5100,5300,5250,31-Oct-23
Madhya Pradesh,Panna,Ajaygarh,Peas(Dry),Pulses,11.9,4900,5200,5160,30-Oct-23
Madhya Pradesh,Panna,Ajaygarh,Peas(Dry),Pulses,8.6,5000,5050,5020,27-Oct-23
Madhya Pradesh,Panna,Ajaygarh,Peas(Dry),Pulses,16.8,4800,5100,5060,20-Oct-23
Madhya Pradesh,Panna,Ajaygarh,Peas(Dry),Pulses,7.6,4800,4950,4900,19-Oct-23
Madhya Pradesh,Panna,Ajaygarh,Peas(Dry),Pulses,6.3,4800,4900,4850,18-Oct-23
Madhya Pradesh,Panna,Ajaygarh,Peas(Dry),Pulses,9.9,4900,4950,4940,17-Oct-23
Madhya Pradesh,Panna,Ajaygarh,Peas(Dry),Pulses,9.1,4900,4950,4940,16-Oct-23
Madhya Pradesh,Panna,Ajaygarh,Peas(Dry),Pulses,5.7,4800,4920,4900,13-Oct-23
Madhya Pradesh,Panna,Ajaygarh,Peas(Dry),Pulses,3.3,4900,4900,4900,12-Oct-23
Madhya Pradesh,Panna,Ajaygarh,Peas(Dry),Pulses,9.5,4800,4900,4880,11-Oct-23
Madhya Pradesh,Panna,Ajaygarh,Peas(Dry),Pulses,11.5,4800,4860,4830,10-Oct-23
Madhya Pradesh,Panna,Ajaygarh,Peas(Dry),Pulses,9.5,4800,4850,4830,09-Oct-23
Madhya Pradesh,Panna,Ajaygarh,Peas(Dry),Pulses,1,4800,4800,4800,07-Oct-23
Madhya Pradesh,Panna,Ajaygarh,Peas(Dry),Pulses,4.5,4800,4820,4820,05-Oct-23
Madhya Pradesh,Panna,Ajaygarh,Peas(Dry),Pulses,6,4850,4900,4880,04-Oct-23
Madhya Pradesh,Panna,Ajaygarh,Peas(Dry),Pulses,17.5,4750,4850,4800,03-Oct-23
Madhya Pradesh,Panna,Ajaygarh,Peas(Dry),Pulses,10.5,4800,4900,4850,30-Sep-23
Madhya Pradesh,Panna,Ajaygarh,Peas(Dry),Pulses,7.6,4950,5020,5000,15-Sep-23
Madhya Pradesh,Panna,Ajaygarh,Peas(Dry),Pulses,0.1,5000,5050,5040,14-Sep-23
Madhya Pradesh,Panna,Ajaygarh,Peas(Dry),Pulses,14.5,5000,5050,5040,13-Sep-23
Madhya Pradesh,Panna,Ajaygarh,Peas(Dry),Pulses,3.1,5080,5080,5080,08-Sep-23
Madhya Pradesh,Panna,Ajaygarh,Peas(Dry),Pulses,3,5000,5000,5000,07-Sep-23
Madhya Pradesh,Panna,Ajaygarh,Peas(Dry),Pulses,10,5000,5050,5020,05-Sep-23
Madhya Pradesh,Panna,Ajaygarh,Peas(Dry),Pulses,15.6,5000,5100,5060,02-Sep-23
Madhya Pradesh,Panna,Ajaygarh,Peas(Dry),Pulses,3.4,5000,5000,5000,31-Aug-23
Madhya Pradesh,Panna,Ajaygarh,Peas(Dry),Pulses,24.1,4950,5050,5020,26-Aug-23
Madhya Pradesh,Panna,Ajaygarh,Peas(Dry),Pulses,20.9,5000,5050,5040,24-Aug-23
Madhya Pradesh,Panna,Ajaygarh,Peas(Dry),Pulses,5.1,5000,5000,5000,23-Aug-23
Madhya Pradesh,Panna,Ajaygarh,Peas(Dry),Pulses,5,5000,5000,5000,22-Aug-23
Madhya Pradesh,Panna,Ajaygarh,Peas(Dry),Pulses,17.2,5000,5100,5050,19-Aug-23
Madhya Pradesh,Panna,Ajaygarh,Peas(Dry),Pulses,12.1,4900,5000,4980,18-Aug-23
Madhya Pradesh,Panna,Ajaygarh,Peas(Dry),Pulses,11,4800,4905,4850,16-Aug-23
Madhya Pradesh,Panna,Ajaygarh,Peas(Dry),Pulses,27.5,4110,4700,4680,12-Aug-23
Madhya Pradesh,Panna,Ajaygarh,Peas(Dry),Pulses,24.1,4100,4600,4550,09-Aug-23
Madhya Pradesh,Panna,Ajaygarh,Peas(Dry),Pulses,9.1,4350,4420,4400,05-Aug-23
Madhya Pradesh,Panna,Ajaygarh,Peas(Dry),Pulses,12,4000,4200,4150,04-Aug-23
Madhya Pradesh,Panna,Ajaygarh,Peas(Dry),Pulses,11,4260,4300,4280,03-Aug-23
Madhya Pradesh,Panna,Ajaygarh,Peas(Dry),Pulses,4.9,4000,4010,4010,31-Jul-23
