State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date
Madhya Pradesh,Panna,Ajaygarh,White,Oil Seeds,4.0,8400,8500,8450,31-Dec-21
Madhya Pradesh,Panna,Ajaygarh,White,Oil Seeds,6.0,8400,8600,8580,30-Dec-21
Madhya Pradesh,Panna,Ajaygarh,White,Oil Seeds,6.0,8500,8600,8570,29-Dec-21
Madhya Pradesh,Panna,Ajaygarh,White,Oil Seeds,10.0,8500,8600,8550,28-Dec-21
Madhya Pradesh,Panna,Ajaygarh,White,Oil Seeds,7.0,8500,8600,8550,27-Dec-21
Madhya Pradesh,Panna,Ajaygarh,White,Oil Seeds,7.0,8500,8650,8600,25-Dec-21
Madhya Pradesh,Panna,Ajaygarh,White,Oil Seeds,12.4,8500,9000,8900,24-Dec-21
Madhya Pradesh,Panna,Ajaygarh,White,Oil Seeds,9.5,8500,9000,8900,23-Dec-21
Madhya Pradesh,Panna,Ajaygarh,White,Oil Seeds,2.5,8500,8600,8600,22-Dec-21
Madhya Pradesh,Panna,Ajaygarh,White,Oil Seeds,11.3,8500,9500,8700,21-Dec-21
Madhya Pradesh,Panna,Ajaygarh,White,Oil Seeds,19.0,8500,9100,9000,18-Dec-21
Madhya Pradesh,Panna,Ajaygarh,White,Oil Seeds,2.5,8600,8700,8700,16-Dec-21
Madhya Pradesh,Panna,Ajaygarh,White,Oil Seeds,21.8,8500,9600,9550,15-Dec-21
Madhya Pradesh,Panna,Ajaygarh,White,Oil Seeds,5.8,8850,9410,9400,14-Dec-21
Madhya Pradesh,Panna,Ajaygarh,White,Oil Seeds,19.4,8900,9310,9300,13-Dec-21
Madhya Pradesh,Panna,Ajaygarh,White,Oil Seeds,14.0,8900,9000,8975,11-Dec-21
Madhya Pradesh,Panna,Ajaygarh,White,Oil Seeds,6.4,8900,9400,9300,10-Dec-21
Madhya Pradesh,Panna,Ajaygarh,White,Oil Seeds,5.2,9500,9700,9600,09-Dec-21
Madhya Pradesh,Panna,Ajaygarh,White,Oil Seeds,3.0,8900,9000,8995,08-Dec-21
Madhya Pradesh,Panna,Ajaygarh,White,Oil Seeds,7.0,9400,9500,9470,04-Dec-21
Madhya Pradesh,Panna,Ajaygarh,White,Oil Seeds,3.1,9700,9800,9800,30-Nov-21
Madhya Pradesh,Panna,Ajaygarh,White,Oil Seeds,5.4,9800,10000,9950,27-Nov-21
Madhya Pradesh,Panna,Ajaygarh,White,Oil Seeds,6.3,10000,10100,10050,26-Nov-21
Madhya Pradesh,Panna,Ajaygarh,White,Oil Seeds,5.5,10000,10100,10100,25-Nov-21
Madhya Pradesh,Panna,Ajaygarh,White,Oil Seeds,11.4,9600,10100,10000,20-Nov-21
Madhya Pradesh,Panna,Ajaygarh,White,Oil Seeds,10.3,9900,10200,10100,17-Nov-21
Madhya Pradesh,Panna,Ajaygarh,White,Oil Seeds,3.2,9900,10300,10200,15-Nov-21
Madhya Pradesh,Panna,Ajaygarh,White,Oil Seeds,5.0,9600,9900,9850,13-Nov-21
Madhya Pradesh,Panna,Ajaygarh,White,Oil Seeds,4.8,10200,10350,10300,12-Nov-21
Madhya Pradesh,Panna,Ajaygarh,White,Oil Seeds,10.0,9600,10000,9950,11-Nov-21
Madhya Pradesh,Panna,Ajaygarh,White,Oil Seeds,11.2,9500,10350,10300,10-Nov-21
Madhya Pradesh,Panna,Ajaygarh,White,Oil Seeds,4.8,10200,10350,10300,09-Nov-21
