Both Price And Arrival from 01-Jan-2022 To 31-Dec-2023 Total Arrival- 42796.26,,,,,,,,,
State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date
Madhya Pradesh,Panna,Ajaygarh,White,Oil Seeds,3.2,13700,13800,13800,30-Dec-23
Madhya Pradesh,Panna,Ajaygarh,White,Oil Seeds,3.2,13750,13800,13800,29-Dec-23
Madhya Pradesh,Panna,Ajaygarh,White,Oil Seeds,2.62,13750,13800,13800,28-Dec-23
Madhya Pradesh,Panna,Ajaygarh,White,Oil Seeds,3.2,13700,13800,13700,27-Dec-23
Madhya Pradesh,Panna,Ajaygarh,White,Oil Seeds,3.3,13700,13800,13800,26-Dec-23
Madhya Pradesh,Panna,Ajaygarh,White,Oil Seeds,10.68,13700,14100,13800,25-Dec-23
Madhya Pradesh,Panna,Ajaygarh,White,Oil Seeds,10.11,13850,14100,14000,22-Dec-23
Madhya Pradesh,Panna,Ajaygarh,White,Oil Seeds,2.6,13410,13420,13410,15-Dec-23
Madhya Pradesh,Panna,Ajaygarh,White,Oil Seeds,3.8,13400,13450,13420,14-Dec-23
Madhya Pradesh,Panna,Ajaygarh,White,Oil Seeds,30,13600,13620,13610,12-Dec-23
Madhya Pradesh,Panna,Ajaygarh,White,Oil Seeds,3.4,13600,13650,13620,11-Dec-23
Madhya Pradesh,Panna,Ajaygarh,White,Oil Seeds,3,13700,13750,13720,08-Dec-23
Madhya Pradesh,Panna,Ajaygarh,White,Oil Seeds,2.1,13705,13705,13705,07-Dec-23
Madhya Pradesh,Panna,Ajaygarh,White,Oil Seeds,1.5,13700,13800,13800,06-Dec-23
Madhya Pradesh,Panna,Ajaygarh,White,Oil Seeds,3,13800,13850,13850,04-Dec-23
Madhya Pradesh,Panna,Ajaygarh,White,Oil Seeds,7.5,14000,14100,14050,02-Dec-23
Madhya Pradesh,Panna,Ajaygarh,White,Oil Seeds,5.8,13800,14000,13950,30-Nov-23
Madhya Pradesh,Panna,Ajaygarh,White,Oil Seeds,5,13900,14100,14000,29-Nov-23
