Both Price And Arrival from 01-Jan-2019 To 31-Dec-2019 Total Arrival- 3930163.60,,,,,,,,,
State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date
Madhya Pradesh,Ratlam,A lot,Yellow,Oil Seeds,121,3012,4611,4500,31-Dec-19
Madhya Pradesh,Ratlam,A lot,Yellow,Oil Seeds,399,2700,4540,4400,30-Dec-19
Madhya Pradesh,Ratlam,A lot,Yellow,Oil Seeds,0.05,2500,4551,4450,29-Dec-19
Madhya Pradesh,Ratlam,A lot,Yellow,Oil Seeds,0.05,3850,4500,4400,28-Dec-19
Madhya Pradesh,Ratlam,A lot,Yellow,Oil Seeds,344.6,2500,4541,4477,27-Dec-19
Madhya Pradesh,Ratlam,A lot,Yellow,Oil Seeds,182.95,3104,4544,4484,26-Dec-19
Madhya Pradesh,Ratlam,A lot,Yellow,Oil Seeds,0.05,2900,4376,4180,25-Dec-19
Madhya Pradesh,Ratlam,A lot,Yellow,Oil Seeds,228,2900,4376,4180,24-Dec-19
Madhya Pradesh,Ratlam,A lot,Yellow,Oil Seeds,218,3256,4375,4245,23-Dec-19
Madhya Pradesh,Ratlam,A lot,Yellow,Oil Seeds,0.05,2935,4332,4226,22-Dec-19
Madhya Pradesh,Ratlam,A lot,Yellow,Oil Seeds,96.83,2935,4332,4226,21-Dec-19
Madhya Pradesh,Ratlam,A lot,Yellow,Oil Seeds,275,3400,4357,4257,20-Dec-19
Madhya Pradesh,Ratlam,A lot,Yellow,Oil Seeds,405.73,3000,4326,4045,19-Dec-19
Madhya Pradesh,Ratlam,A lot,Yellow,Oil Seeds,288.68,3477,4255,4000,18-Dec-19
Madhya Pradesh,Ratlam,A lot,Yellow,Oil Seeds,228.46,2400,4206,3909,17-Dec-19
Madhya Pradesh,Ratlam,A lot,Yellow,Oil Seeds,405,2591,4157,3949,16-Dec-19
Madhya Pradesh,Ratlam,A lot,Yellow,Oil Seeds,0.05,3002,4237,3900,15-Dec-19
Madhya Pradesh,Ratlam,A lot,Yellow,Oil Seeds,0.05,3002,4237,3900,14-Dec-19
Madhya Pradesh,Ratlam,A lot,Yellow,Oil Seeds,489.37,3002,4237,3900,13-Dec-19
Madhya Pradesh,Ratlam,A lot,Yellow,Oil Seeds,339.85,2902,4162,3846,12-Dec-19
Madhya Pradesh,Ratlam,A lot,Yellow,Oil Seeds,537,2670,4160,3902,11-Dec-19
Madhya Pradesh,Ratlam,A lot,Yellow,Oil Seeds,583.36,2970,4100,3881,10-Dec-19
Madhya Pradesh,Ratlam,A lot,Yellow,Oil Seeds,718,3202,4151,3851,09-Dec-19
Madhya Pradesh,Ratlam,A lot,Yellow,Oil Seeds,0.05,2686,4055,3786,08-Dec-19
Madhya Pradesh,Ratlam,A lot,Yellow,Oil Seeds,408.72,2686,4055,3786,07-Dec-19
Madhya Pradesh,Ratlam,A lot,Yellow,Oil Seeds,696.36,2680,4050,3780,06-Dec-19
Madhya Pradesh,Ratlam,A lot,Yellow,Oil Seeds,658,2302,3983,3792,05-Dec-19
Madhya Pradesh,Ratlam,A lot,Yellow,Oil Seeds,"1,158.00",2200,4005,3890,04-Dec-19
Madhya Pradesh,Ratlam,A lot,Yellow,Oil Seeds,"1,076.33",2602,4015,3880,03-Dec-19
Madhya Pradesh,Ratlam,A lot,Yellow,Oil Seeds,650,2802,4004,3797,02-Dec-19
Madhya Pradesh,Ratlam,A lot,Yellow,Oil Seeds,0.05,3000,4000,3500,01-Dec-19
Madhya Pradesh,Ratlam,A lot,Yellow,Oil Seeds,717.11,2601,4026,3890,30-Nov-19
Madhya Pradesh,Ratlam,A lot,Yellow,Oil Seeds,925,2299,4040,3800,29-Nov-19
Madhya Pradesh,Ratlam,A lot,Yellow,Oil Seeds,633,2849,4051,3780,28-Nov-19
Madhya Pradesh,Ratlam,A lot,Yellow,Oil Seeds,"1,308.00",2555,4038,3816,27-Nov-19
Madhya Pradesh,Ratlam,A lot,Yellow,Oil Seeds,654,2600,4020,3780,26-Nov-19
Madhya Pradesh,Ratlam,A lot,Yellow,Oil Seeds,966,2614,4051,3821,25-Nov-19
Madhya Pradesh,Ratlam,A lot,Yellow,Oil Seeds,0.05,2700,3900,3810,24-Nov-19
Madhya Pradesh,Ratlam,A lot,Yellow,Oil Seeds,0.05,2790,3966,3738,23-Nov-19
Madhya Pradesh,Ratlam,A lot,Yellow,Oil Seeds,852,2790,3966,3738,22-Nov-19
Madhya Pradesh,Ratlam,A lot,Yellow,Oil Seeds,857,2400,3981,3832,21-Nov-19
Madhya Pradesh,Ratlam,A lot,Yellow,Oil Seeds,"1,134.00",2790,4008,3751,20-Nov-19
Madhya Pradesh,Ratlam,A lot,Yellow,Oil Seeds,852,2342,3904,3673,19-Nov-19
Madhya Pradesh,Ratlam,A lot,Yellow,Oil Seeds,704,2350,3937,3750,18-Nov-19
Madhya Pradesh,Ratlam,A lot,Yellow,Oil Seeds,0.05,2100,3918,3801,17-Nov-19
Madhya Pradesh,Ratlam,A lot,Yellow,Oil Seeds,801.66,2200,4001,3890,16-Nov-19
Madhya Pradesh,Ratlam,A lot,Yellow,Oil Seeds,"1,051.00",2100,3918,3801,15-Nov-19
Madhya Pradesh,Ratlam,A lot,Yellow,Oil Seeds,"1,482.00",2100,3979,3800,14-Nov-19
Madhya Pradesh,Ratlam,A lot,Yellow,Oil Seeds,"2,008.00",2471,3986,3779,13-Nov-19
Madhya Pradesh,Ratlam,A lot,Yellow,Oil Seeds,0.05,2627,4100,3800,12-Nov-19
Madhya Pradesh,Ratlam,A lot,Yellow,Oil Seeds,"1,550.00",2627,4100,3800,11-Nov-19
Madhya Pradesh,Ratlam,A lot,Yellow,Oil Seeds,0.05,1950,4050,3500,10-Nov-19
Madhya Pradesh,Ratlam,A lot,Yellow,Oil Seeds,0.05,1900,4000,3500,09-Nov-19
Madhya Pradesh,Ratlam,A lot,Yellow,Oil Seeds,"1,270.00",1803,4012,3635,07-Nov-19
Madhya Pradesh,Ratlam,A lot,Yellow,Oil Seeds,"2,037.00",2240,4000,3850,06-Nov-19
Madhya Pradesh,Ratlam,A lot,Yellow,Oil Seeds,"2,155.00",2200,4101,3894,05-Nov-19
Madhya Pradesh,Ratlam,A lot,Yellow,Oil Seeds,"2,106.43",2203,4076,3850,04-Nov-19
Madhya Pradesh,Ratlam,A lot,Yellow,Oil Seeds,0.05,2101,4121,3841,03-Nov-19
Madhya Pradesh,Ratlam,A lot,Yellow,Oil Seeds,"2,204.00",2101,4121,3841,02-Nov-19
Madhya Pradesh,Ratlam,A lot,Yellow,Oil Seeds,"2,047.00",2400,4211,3800,01-Nov-19
Madhya Pradesh,Ratlam,A lot,Yellow,Oil Seeds,"1,592.00",2100,4115,3660,31-Oct-19
Madhya Pradesh,Ratlam,A lot,Yellow,Oil Seeds,932.3,2231,4041,3575,30-Oct-19
Madhya Pradesh,Ratlam,A lot,Yellow,Oil Seeds,0.05,2600,3850,3450,29-Oct-19
Madhya Pradesh,Ratlam,A lot,Yellow,Oil Seeds,0.05,2800,3900,3500,28-Oct-19
Madhya Pradesh,Ratlam,A lot,Yellow,Oil Seeds,0.05,2600,3800,3500,27-Oct-19
Madhya Pradesh,Ratlam,A lot,Yellow,Oil Seeds,0.05,2046,3951,3567,26-Oct-19
Madhya Pradesh,Ratlam,A lot,Yellow,Oil Seeds,211.97,2046,3951,3567,25-Oct-19
Madhya Pradesh,Ratlam,A lot,Yellow,Oil Seeds,571,1801,3938,3600,24-Oct-19
Madhya Pradesh,Ratlam,A lot,Yellow,Oil Seeds,"1,568.00",1500,3901,3350,23-Oct-19
Madhya Pradesh,Ratlam,A lot,Yellow,Oil Seeds,0.05,2022,3905,3297,22-Oct-19
Madhya Pradesh,Ratlam,A lot,Yellow,Oil Seeds,0.05,2000,3902,3296,21-Oct-19
Madhya Pradesh,Ratlam,A lot,Yellow,Oil Seeds,0.05,2000,3902,3290,20-Oct-19
