Both Price And Arrival from 01-Jan-2019 To 30-Jun-2019 Total Arrival- 7514568.84,,,,,,,,,
State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date
Madhya Pradesh,Ratlam,A lot,Medium,Cereals,0.05,1800,1855,1830,30-Jun-19
Madhya Pradesh,Ratlam,A lot,Medium,Cereals,803.46,1800,1855,1830,29-Jun-19
Madhya Pradesh,Ratlam,A lot,Medium,Cereals,82.94,1840,1856,1854,28-Jun-19
Madhya Pradesh,Ratlam,A lot,Medium,Cereals,28.22,1829,1831,1831,27-Jun-19
Madhya Pradesh,Ratlam,A lot,Medium,Cereals,476.25,1810,1841,1822,26-Jun-19
Madhya Pradesh,Ratlam,A lot,Medium,Cereals,643,1770,1829,1811,25-Jun-19
Madhya Pradesh,Ratlam,A lot,Medium,Cereals,"1,125.00",1693,1832,1797,24-Jun-19
Madhya Pradesh,Ratlam,A lot,Medium,Cereals,0.05,1685,1813,1790,23-Jun-19
Madhya Pradesh,Ratlam,A lot,Medium,Cereals,0.05,1685,1813,1790,22-Jun-19
Madhya Pradesh,Ratlam,A lot,Medium,Cereals,"1,311.00",1685,1813,1790,21-Jun-19
Madhya Pradesh,Ratlam,A lot,Medium,Cereals,672,1700,1800,1783,20-Jun-19
Madhya Pradesh,Ratlam,A lot,Medium,Cereals,691,1766,1814,1793,19-Jun-19
Madhya Pradesh,Ratlam,A lot,Medium,Cereals,572.41,1671,3800,1785,18-Jun-19
Madhya Pradesh,Ratlam,A lot,Medium,Cereals,800.51,1713,1820,1795,17-Jun-19
Madhya Pradesh,Ratlam,A lot,Medium,Cereals,0.05,1733,1801,1788,16-Jun-19
Madhya Pradesh,Ratlam,A lot,Medium,Cereals,724.5,1733,1801,1788,15-Jun-19
Madhya Pradesh,Ratlam,A lot,Medium,Cereals,839,1170,1897,1806,14-Jun-19
Madhya Pradesh,Ratlam,A lot,Medium,Cereals,649.67,1764,1890,1813,13-Jun-19
Madhya Pradesh,Ratlam,A lot,Medium,Cereals,360,1738,1864,1807,12-Jun-19
Madhya Pradesh,Ratlam,A lot,Medium,Cereals,"1,200.00",1729,1822,1817,11-Jun-19
Madhya Pradesh,Ratlam,A lot,Medium,Cereals,"1,163.00",1800,1854,1820,10-Jun-19
Madhya Pradesh,Ratlam,A lot,Medium,Cereals,0.05,1736,1889,1836,09-Jun-19
Madhya Pradesh,Ratlam,A lot,Medium,Cereals,0.05,1736,1889,1836,08-Jun-19
Madhya Pradesh,Ratlam,A lot,Medium,Cereals,"1,534.00",1721,1889,1836,07-Jun-19
Madhya Pradesh,Ratlam,A lot,Medium,Cereals,"1,252.00",1778,1871,1850,06-Jun-19
Madhya Pradesh,Ratlam,A lot,Medium,Cereals,0.05,1807,1870,1853,05-Jun-19
Madhya Pradesh,Ratlam,A lot,Medium,Cereals,15.99,1777,1871,1855,04-Jun-19
Madhya Pradesh,Ratlam,A lot,Medium,Cereals,"1,031.00",1807,1870,1856,03-Jun-19
Madhya Pradesh,Ratlam,A lot,Medium,Cereals,0.05,1820,1879,1845,02-Jun-19
Madhya Pradesh,Ratlam,A lot,Medium,Cereals,786.95,1820,1879,1845,01-Jun-19
Madhya Pradesh,Ratlam,A lot,Medium,Cereals,695.29,1750,1871,1830,31-May-19
Madhya Pradesh,Ratlam,A lot,Medium,Cereals,809,1751,1851,1820,30-May-19
Madhya Pradesh,Ratlam,A lot,Medium,Cereals,819,1790,1846,1818,29-May-19
Madhya Pradesh,Ratlam,A lot,Medium,Cereals,790,1756,1867,1819,28-May-19
Madhya Pradesh,Ratlam,A lot,Medium,Cereals,"1,245.00",1799,1893,1833,27-May-19
Madhya Pradesh,Ratlam,A lot,Medium,Cereals,0.05,1780,1890,1860,26-May-19
Madhya Pradesh,Ratlam,A lot,Medium,Cereals,0.05,1780,1890,1860,25-May-19
Madhya Pradesh,Ratlam,A lot,Medium,Cereals,"2,673.25",1780,1890,1860,24-May-19
Madhya Pradesh,Ratlam,A lot,Medium,Cereals,929.9,1775,1899,1854,23-May-19
Madhya Pradesh,Ratlam,A lot,Medium,Cereals,"2,131.00",1750,1932,1862,22-May-19
Madhya Pradesh,Ratlam,A lot,Medium,Cereals,"2,266.24",1850,1909,1875,21-May-19
Madhya Pradesh,Ratlam,A lot,Medium,Cereals,"1,188.00",1700,1901,1865,20-May-19
Madhya Pradesh,Ratlam,A lot,Medium,Cereals,0.05,1810,1887,1840,19-May-19
Madhya Pradesh,Ratlam,A lot,Medium,Cereals,0.05,1810,1887,1840,18-May-19
Madhya Pradesh,Ratlam,A lot,Medium,Cereals,"1,836.25",1810,1887,1840,17-May-19
Madhya Pradesh,Ratlam,A lot,Medium,Cereals,"2,064.00",1825,1886,1840,16-May-19
Madhya Pradesh,Ratlam,A lot,Medium,Cereals,"2,338.00",1750,1894,1840,15-May-19
Madhya Pradesh,Ratlam,A lot,Medium,Cereals,"3,640.00",1795,1920,1840,14-May-19
Madhya Pradesh,Ratlam,A lot,Medium,Cereals,"5,745.00",1795,1901,1840,13-May-19
Madhya Pradesh,Ratlam,A lot,Medium,Cereals,0.05,1771,1862,1840,12-May-19
Madhya Pradesh,Ratlam,A lot,Medium,Cereals,0.05,1771,1862,1840,11-May-19
Madhya Pradesh,Ratlam,A lot,Medium,Cereals,"4,760.00",1771,1862,1840,10-May-19
Madhya Pradesh,Ratlam,A lot,Medium,Cereals,"3,731.00",1765,1840,1840,09-May-19
Madhya Pradesh,Ratlam,A lot,Medium,Cereals,0.05,1700,1840,1840,07-May-19
Madhya Pradesh,Ratlam,A lot,Medium,Cereals,"8,084.00",1735,1840,1840,06-May-19
Madhya Pradesh,Ratlam,A lot,Medium,Cereals,0.05,1700,1840,1840,05-May-19
Madhya Pradesh,Ratlam,A lot,Medium,Cereals,75.48,1710,1840,1840,04-May-19
Madhya Pradesh,Ratlam,A lot,Medium,Cereals,"5,901.00",1700,1840,1840,03-May-19
Madhya Pradesh,Ratlam,A lot,Medium,Cereals,"5,572.00",1720,1840,1840,02-May-19
Madhya Pradesh,Ratlam,A lot,Medium,Cereals,"6,936.00",1702,1840,1840,01-May-19
Madhya Pradesh,Ratlam,A lot,Medium,Cereals,"9,039.00",1700,1840,1840,30-Apr-19
Madhya Pradesh,Ratlam,A lot,Medium,Cereals,"7,425.00",1680,1840,1840,29-Apr-19
Madhya Pradesh,Ratlam,A lot,Medium,Cereals,0.05,1700,1850,1840,28-Apr-19
Madhya Pradesh,Ratlam,A lot,Medium,Cereals,0.05,1700,1850,1840,27-Apr-19
Madhya Pradesh,Ratlam,A lot,Medium,Cereals,"3,238.00",1700,1850,1840,26-Apr-19
Madhya Pradesh,Ratlam,A lot,Medium,Cereals,"5,414.00",1666,1840,1840,25-Apr-19
Madhya Pradesh,Ratlam,A lot,Medium,Cereals,"6,378.00",1625,1844,1840,24-Apr-19
Madhya Pradesh,Ratlam,A lot,Medium,Cereals,"5,950.00",1613,1850,1840,23-Apr-19
Madhya Pradesh,Ratlam,A lot,Medium,Cereals,"7,188.00",1575,1840,1840,22-Apr-19
Madhya Pradesh,Ratlam,A lot,Medium,Cereals,0.05,1606,1840,1840,21-Apr-19
