commodity_name,state,district,market,min_price,max_price,modal_price,date
Ajwan,Madhya Pradesh,Neemuch,Neemuch,80.0,132.0,95.0,2019-05-22
Alasande+Gram,Madhya Pradesh,Panna,Ajaygarh,41.0,46.2,42.0,2019-05-22
Amla(Nelli+Kai),Madhya Pradesh,Neemuch,Neemuch,124.0,124.0,124.0,2019-05-22
Apple,Madhya Pradesh,Harda,Harda(F&V),30.0,33.0,32.0,2019-05-22
Arhar+Dal(Tur+Dal),Madhya Pradesh,Sagar,Jaisinagar,36.0,38.0,37.0,2019-05-22
Banana,Madhya Pradesh,Burhanpur,Burhanpur(F&V),7.01,17.7,11.9,2019-05-22
Barley+(Jau),Madhya Pradesh,Panna,Ajaygarh,15.0,16.0,15.5,2019-05-22
Barley+(Jau),Madhya Pradesh,Chhatarpur,Chhatarpur,17.0,17.5,17.35,2019-05-22
Barley+(Jau),Madhya Pradesh,Neemuch,Neemuch,17.3,18.11,17.7,2019-05-22
Beetroot,Madhya Pradesh,Narsinghpur,Gadarwada,6.0,6.0,6.0,2019-05-22
Bitter+gourd,Madhya Pradesh,Chhindwara,Chhindwara(F&V),10.0,14.0,12.0,2019-05-22
Bitter+gourd,Madhya Pradesh,Narsinghpur,Gadarwada,20.0,20.0,20.0,2019-05-22
Bitter+gourd,Madhya Pradesh,Harda,Harda(F&V),7.0,9.0,8.0,2019-05-22
Bitter+gourd,Madhya Pradesh,Indore,Indore(F&V),10.0,20.0,15.0,2019-05-22
Bitter+gourd,Madhya Pradesh,Jhabua,Thandla,17.0,19.0,18.0,2019-05-22
Bitter+gourd,Madhya Pradesh,Harda,Timarni,10.0,10.0,10.0,2019-05-22
Bitter+gourd,Madhya Pradesh,Ujjain,Ujjain(F&V),15.0,38.0,25.17,2019-05-22
Bottle+gourd,Madhya Pradesh,Chhindwara,Chhindwara(F&V),7.0,9.0,8.0,2019-05-22
Bottle+gourd,Madhya Pradesh,Dhar,Dhamnod,7.0,10.0,8.5,2019-05-22
Bottle+gourd,Madhya Pradesh,Narsinghpur,Gadarwada,5.0,6.0,5.5,2019-05-22
Bottle+gourd,Madhya Pradesh,Harda,Harda(F&V),4.0,6.0,5.0,2019-05-22
Bottle+gourd,Madhya Pradesh,Indore,Indore(F&V),3.0,6.0,4.0,2019-05-22
Bottle+gourd,Madhya Pradesh,Khandwa,Khandwa(F&V),5.0,7.5,6.4,2019-05-22
Bottle+gourd,Madhya Pradesh,Dhar,Kukshi,4.0,6.0,5.0,2019-05-22
Bottle+gourd,Madhya Pradesh,Dhar,Rajgarh,8.0,12.0,10.0,2019-05-22
Bottle+gourd,Madhya Pradesh,Indore,Sanwer,9.5,10.5,10.0,2019-05-22
Bottle+gourd,Madhya Pradesh,Badwani,Sendhwa,6.0,9.0,7.5,2019-05-22
Bottle+gourd,Madhya Pradesh,Sheopur,Syopurkalan(F&V),5.0,6.0,5.5,2019-05-22
Bottle+gourd,Madhya Pradesh,Jhabua,Thandla,18.0,20.0,19.0,2019-05-22
Bottle+gourd,Madhya Pradesh,Harda,Timarni,3.0,5.0,4.0,2019-05-22
Bottle+gourd,Madhya Pradesh,Ujjain,Ujjain(F&V),7.0,16.5,12.75,2019-05-22
Brinjal,Madhya Pradesh,Rajgarh,Biaora,9.0,10.0,9.5,2019-05-22
Brinjal,Madhya Pradesh,Burhanpur,Burhanpur(F&V),9.0,16.0,13.0,2019-05-22
Brinjal,Madhya Pradesh,Chhindwara,Chhindwara(F&V),9.0,11.0,10.0,2019-05-22
Brinjal,Madhya Pradesh,Dewas,Dewas(F&V),7.0,17.0,11.0,2019-05-22
